API Start,API Dur,Queue Start,Queue Dur,Kernel Start,Kernel Dur,Total Dur,PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
1.64925s,2.376 μs,1.64926s,5.179 μs,1.64926s,1.696 μs,9.251 μs,236841,236841,0,cudaLaunchKernel,4 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.64927s,1.800 μs,1.64927s,2.143 μs,1.64927s,6.816 μs,10.759 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,0128 1 1,volta_sgemm_32x32_sliced1x4_tn
1.64932s,5.223 ms,1.65454s,1.094 μs,1.65454s,5.600 μs,5.230 ms,236841,236841,0,cudaLaunchKernel,1 1 2001,8   32    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4>>(T3)"
1.65458s,6.540 ms,1.66112s,1.016 μs,1.66112s,1.856 μs,6.543 ms,236841,236841,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
1.66118s,4.210 ms,1.66539s,1.406 μs,1.66539s,2.015 μs,4.213 ms,236841,236841,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)"
1.66541s,4.341 ms,1.66975s,1.486 μs,1.66975s,4.256 μs,4.347 ms,236841,236841,0,cudaLaunchKernel,1 1 2001,32    1    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator ()(at::TensorIterator &)::[lambda(long, long) (instance 1)]>, unsigned int, long, (int)4>>(T3)"
1.67225s,8.017 μs,1.67226s,600 ns,1.67226s,2.304 μs,10.921 μs,236841,236841,0,cudaLaunchKernel,5 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.67226s,4.105 μs,1.67227s,1.183 μs,1.67227s,71.712 μs,77.000 μs,236841,236841,0,cudaLaunchKernel,0256 1 1,64    1    1,_5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1
1.67228s,4.208 μs,1.67228s,57.223 μs,1.67234s,40.448 μs,101.879 μs,236841,236841,0,cudaLaunchKernel,2048 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.6723s,3.022 μs,1.6723s,83.873 μs,1.67238s,30.240 μs,117.135 μs,236841,236841,0,cudaLaunchKernel,1024 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.67232s,2.956 μs,1.67232s,91.955 μs,1.67241s,37.984 μs,132.895 μs,236841,236841,0,cudaLaunchKernel,0512 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.67234s,1.769 μs,1.67234s,111.343 μs,1.67245s,2.784 μs,115.896 μs,236841,236841,0,cudaLaunchKernel,2 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.67234s,2.207 μs,1.67234s,111.091 μs,1.67246s,82.881 μs,196.179 μs,236841,236841,0,cudaLaunchKernel,64    1    1,0128 1 1,_5x_cudnn_volta_scudnn_128x32_relu_medium_nn_v1
1.67235s,1.732 μs,1.67235s,189.537 μs,1.67254s,20.640 μs,211.909 μs,236841,236841,0,cudaLaunchKernel,1024 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.67235s,1.707 μs,1.67236s,205.256 μs,1.67256s,14.400 μs,221.363 μs,236841,236841,0,cudaLaunchKernel,0512 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.67236s,1.890 μs,1.67236s,211.918 μs,1.67258s,20.800 μs,234.608 μs,236841,236841,0,cudaLaunchKernel,0256 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.67238s,2.388 μs,1.67238s,214.463 μs,1.6726s,4.160 μs,221.011 μs,236841,236841,0,cudaLaunchKernel,2 8 2001,32    4    1,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)"
1.67238s,2.154 μs,1.67239s,216.557 μs,1.6726s,90.176 μs,308.887 μs,236841,236841,0,cudaLaunchKernel,64    1    1,0256 1 1,_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1
1.67239s,1.676 μs,1.67239s,302.900 μs,1.67269s,8.768 μs,313.344 μs,236841,236841,0,cudaLaunchKernel,0512 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.67239s,1.553 μs,1.6724s,307.518 μs,1.6727s,4.672 μs,313.743 μs,236841,236841,0,cudaLaunchKernel,0256 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.6724s,1.498 μs,1.6724s,305.866 μs,1.67271s,10.176 μs,317.540 μs,236841,236841,0,cudaLaunchKernel,0128 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.67245s,3.965 μs,1.67245s,271.013 μs,1.67272s,20.225 μs,295.203 μs,236841,236841,0,cudaLaunchKernel,2 1 2005,0256 1 1,volta_sgemm_64x32_sliced1x4_tn
1.67245s,3.023 μs,1.67245s,287.805 μs,1.67274s,3.167 μs,293.995 μs,236841,236841,0,cudaLaunchKernel,4 2 2001,32   16    1,"void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)1, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
1.67246s,1.741 μs,1.67246s,284.710 μs,1.67275s,1.728 μs,288.179 μs,236841,236841,0,cudaLaunchKernel,8 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.67247s,1.913 μs,1.67248s,272.146 μs,1.67275s,9.920 μs,283.979 μs,236841,236841,0,cudaLaunchKernel,2 1 2001,0128 1 1,volta_sgemm_32x32_sliced1x4_tn
1.67248s,1.558 μs,1.67248s,277.887 μs,1.67276s,1.599 μs,281.044 μs,236841,236841,0,cudaLaunchKernel,4 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.67249s,1.573 μs,1.67249s,269.623 μs,1.67276s,6.752 μs,277.948 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,0128 1 1,volta_sgemm_32x32_sliced1x4_tn
1.67251s,2.647 μs,1.67252s,252.882 μs,1.67277s,8.063 μs,263.592 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,8   32    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4>>(T3)"
1.67253s,2.155 μs,1.67253s,248.419 μs,1.67278s,1.856 μs,252.430 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
1.67254s,2.477 μs,1.67254s,238.137 μs,1.67278s,2.400 μs,243.014 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)"
1.67255s,1.650 μs,1.67255s,236.416 μs,1.67278s,6.177 μs,244.243 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,32    1    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator ()(at::TensorIterator &)::[lambda(long, long) (instance 1)]>, unsigned int, long, (int)4>>(T3)"
1.67473s,6.232 μs,1.67474s,1.043 μs,1.67474s,2.080 μs,9.355 μs,236841,236841,0,cudaLaunchKernel,5 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.67474s,2.566 μs,1.67474s,2.418 μs,1.67475s,70.240 μs,75.224 μs,236841,236841,0,cudaLaunchKernel,0256 1 1,64    1    1,_5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1
1.67475s,2.326 μs,1.67475s,64.462 μs,1.67482s,40.577 μs,107.365 μs,236841,236841,0,cudaLaunchKernel,2048 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.67476s,1.916 μs,1.67476s,96.980 μs,1.67486s,29.921 μs,128.817 μs,236841,236841,0,cudaLaunchKernel,1024 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.67477s,2.300 μs,1.67478s,114.316 μs,1.67489s,37.824 μs,154.440 μs,236841,236841,0,cudaLaunchKernel,0512 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.67479s,1.825 μs,1.6748s,134.392 μs,1.67493s,2.720 μs,138.937 μs,236841,236841,0,cudaLaunchKernel,2 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.6748s,1.691 μs,1.6748s,135.004 μs,1.67493s,82.688 μs,219.383 μs,236841,236841,0,cudaLaunchKernel,64    1    1,0128 1 1,_5x_cudnn_volta_scudnn_128x32_relu_medium_nn_v1
1.6748s,1.769 μs,1.6748s,213.176 μs,1.67502s,20.800 μs,235.745 μs,236841,236841,0,cudaLaunchKernel,1024 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.67481s,1.771 μs,1.67481s,228.729 μs,1.67504s,14.816 μs,245.316 μs,236841,236841,0,cudaLaunchKernel,0512 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.67482s,1.797 μs,1.67482s,235.771 μs,1.67505s,20.864 μs,258.432 μs,236841,236841,0,cudaLaunchKernel,0256 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.67483s,2.108 μs,1.67483s,242.348 μs,1.67508s,4.192 μs,248.648 μs,236841,236841,0,cudaLaunchKernel,2 8 2001,32    4    1,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)"
1.67483s,1.857 μs,1.67484s,245.212 μs,1.67508s,90.721 μs,337.790 μs,236841,236841,0,cudaLaunchKernel,64    1    1,0256 1 1,_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1
1.67484s,1.574 μs,1.67484s,332.187 μs,1.67517s,9.281 μs,343.042 μs,236841,236841,0,cudaLaunchKernel,0512 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.67484s,1.820 μs,1.67485s,336.813 μs,1.67518s,4.640 μs,343.273 μs,236841,236841,0,cudaLaunchKernel,0256 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.67485s,1.638 μs,1.67485s,334.511 μs,1.67519s,10.240 μs,346.389 μs,236841,236841,0,cudaLaunchKernel,0128 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
1.67487s,2.005 μs,1.67488s,323.389 μs,1.6752s,19.936 μs,345.330 μs,236841,236841,0,cudaLaunchKernel,2 1 2005,0256 1 1,volta_sgemm_64x32_sliced1x4_tn
1.67488s,1.741 μs,1.67488s,341.894 μs,1.67522s,3.168 μs,346.803 μs,236841,236841,0,cudaLaunchKernel,4 2 2001,32   16    1,"void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)1, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
1.67488s,1.831 μs,1.67488s,339.361 μs,1.67522s,1.760 μs,342.952 μs,236841,236841,0,cudaLaunchKernel,8 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.6749s,1.764 μs,1.6749s,329.114 μs,1.67523s,9.856 μs,340.734 μs,236841,236841,0,cudaLaunchKernel,2 1 2001,0128 1 1,volta_sgemm_32x32_sliced1x4_tn
1.6749s,1.635 μs,1.6749s,334.674 μs,1.67524s,1.600 μs,337.909 μs,236841,236841,0,cudaLaunchKernel,4 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.67491s,1.474 μs,1.67491s,327.092 μs,1.67524s,6.720 μs,335.286 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,0128 1 1,volta_sgemm_32x32_sliced1x4_tn
1.67492s,2.340 μs,1.67493s,321.147 μs,1.67525s,8.160 μs,331.647 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,8   32    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4>>(T3)"
1.67493s,1.815 μs,1.67494s,320.316 μs,1.67526s,1.888 μs,324.019 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
1.67494s,1.987 μs,1.67495s,312.918 μs,1.67526s,2.496 μs,317.401 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)"
1.67495s,1.901 μs,1.67495s,311.356 μs,1.67526s,5.952 μs,319.209 μs,236841,236841,0,cudaLaunchKernel,1 1 2001,32    1    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator ()(at::TensorIterator &)::[lambda(long, long) (instance 1)]>, unsigned int, long, (int)4>>(T3)"
1.67706s,5.727 μs,1.67707s,1.000 μs,1.67707s,2.048 μs,8.775 μs,236841,236841,0,cudaLaunchKernel,5 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.67707s,2.466 μs,1.67707s,2.442 μs,1.67708s,71.392 μs,76.300 μs,236841,236841,0,cudaLaunchKernel,0256 1 1,64    1    1,_5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1
1.67708s,2.390 μs,1.67708s,65.886 μs,1.67715s,40.192 μs,108.468 μs,236841,236841,0,cudaLaunchKernel,2048 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
