API Start,API Dur,Queue Start,Queue Dur,Kernel Start,Kernel Dur,Total Dur,PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
1.99406s,4.622 μs,1.99407s,948.483 μs,1.99501s,1.654 ms,2.607 ms,236089,236089,0,cudaLaunchKernel,93312 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.9941s,3.043 μs,1.9941s,2.568 ms,1.99667s,1.308 ms,3.879 ms,236089,236089,0,cudaLaunchKernel,46656 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.99453s,5.785 μs,1.99454s,3.439 ms,1.99798s,2.816 μs,3.447 ms,236089,236089,0,cudaLaunchKernel,12 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
1.99454s,37.417 μs,1.99458s,3.408 ms,1.99799s,4.175 ms,7.621 ms,236089,236089,0,cudaLaunchKernel,2916 1 1,0128 1 1,_5x_cudnn_volta_scudnn_128x64_relu_medium_nn_v1
1.9946s,2.269 μs,1.9946s,7.564 ms,2.00216s,1.653 ms,9.219 ms,236089,236089,0,cudaLaunchKernel,93312 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.99461s,2.062 μs,1.99461s,9.202 ms,2.00382s,1.308 ms,10.512 ms,236089,236089,0,cudaLaunchKernel,46656 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
1.99467s,10.765 ms,2.00544s,347 ns,2.00544s,2.663 ms,13.428 ms,236089,236089,0,cudaLaunchKernel,0448 2 1,0128 1 1,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
2.00586s,5.452 μs,2.00586s,2.241 ms,2.0081s,2.976 μs,2.250 ms,236089,236089,0,cudaLaunchKernel,12 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
2.00586s,2.355 μs,2.00587s,2.241 ms,2.00811s,2.070 ms,4.313 ms,236089,236089,0,cudaLaunchKernel,2916 1 1,64    1    1,_5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1
2.00588s,2.536 μs,2.00589s,4.291 ms,2.01018s,415.266 μs,4.709 ms,236089,236089,0,cudaLaunchKernel,23328 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.0059s,2.091 μs,2.0059s,4.691 ms,2.01059s,327.809 μs,5.020 ms,236089,236089,0,cudaLaunchKernel,11664 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.00594s,3.856 μs,2.00594s,4.977 ms,2.01092s,988.932 μs,5.970 ms,236089,236089,0,cudaLaunchKernel,46    1  128,64    1    1,volta_sgemm_64x64_nn
2.00595s,1.581 μs,2.00595s,5.958 ms,2.01191s,1.654 ms,7.613 ms,236089,236089,0,cudaLaunchKernel,93312 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.00596s,1.738 μs,2.00596s,7.604 ms,2.01357s,1.308 ms,8.913 ms,236089,236089,0,cudaLaunchKernel,46656 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.00598s,1.966 μs,2.00598s,8.891 ms,2.01487s,2.784 μs,8.895 ms,236089,236089,0,cudaLaunchKernel,12 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
2.00599s,2.188 μs,2.00599s,8.890 ms,2.01488s,4.174 ms,13.065 ms,236089,236089,0,cudaLaunchKernel,2916 1 1,0128 1 1,_5x_cudnn_volta_scudnn_128x64_relu_medium_nn_v1
2.00599s,1.576 μs,2.00599s,13.058 ms,2.01905s,1.652 ms,14.712 ms,236089,236089,0,cudaLaunchKernel,93312 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.006s,1.526 μs,2.006s,14.705 ms,2.02071s,1.308 ms,16.014 ms,236089,236089,0,cudaLaunchKernel,46656 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.00602s,2.963 μs,2.00602s,15.994 ms,2.02201s,2.652 ms,18.649 ms,236089,236089,0,cudaLaunchKernel,0448 2 1,0128 1 1,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
2.00635s,6.677 μs,2.00636s,18.307 ms,2.02467s,2.655 μs,18.317 ms,236089,236089,0,cudaLaunchKernel,12 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
2.00636s,2.177 μs,2.00636s,18.307 ms,2.02467s,2.233 ms,20.543 ms,236089,236089,0,cudaLaunchKernel,2916 1 1,64    1    1,_5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1
2.00638s,2.377 μs,2.00638s,20.522 ms,2.0269s,826.883 μs,21.351 ms,236089,236089,0,cudaLaunchKernel,46656 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.0064s,1.853 μs,2.0064s,21.332 ms,2.02773s,654.466 μs,21.989 ms,236089,236089,0,cudaLaunchKernel,23328 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.0067s,6.198 μs,2.00671s,21.680 ms,2.02839s,4.183 ms,25.869 ms,236089,236089,0,cudaLaunchKernel,92    1  128,0256 1 1,volta_sgemm_32x128_nn
2.00672s,1.982 μs,2.00672s,25.849 ms,2.03257s,3.303 ms,29.153 ms,236089,236089,0,cudaLaunchKernel,186624    1    1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.00673s,1.817 μs,2.00674s,29.139 ms,2.03587s,2.614 ms,31.754 ms,236089,236089,0,cudaLaunchKernel,93312 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.00727s,31.316 ms,2.03859s,121 ns,2.03859s,1.585 ms,32.901 ms,236089,236089,0,cudaLaunchKernel,128   32    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.03859s,9.992 μs,2.0386s,1.578 ms,2.04018s,7.201 μs,1.595 ms,236089,236089,0,cudaLaunchKernel,1 16 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.03861s,8.050 μs,2.03861s,1.573 ms,2.04019s,9.949 ms,11.530 ms,236089,236089,0,cudaLaunchKernel,784    1   36,0256 1 1,volta_sgemm_32x128_nn
2.03861s,17.888 μs,2.03863s,11.507 ms,2.05014s,4.616 ms,16.141 ms,236089,236089,0,cudaLaunchKernel,128  128    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.03868s,3.747 μs,2.03869s,16.071 ms,2.05476s,3.304 ms,19.379 ms,236089,236089,0,cudaLaunchKernel,186624    1    1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.03873s,2.658 μs,2.03873s,19.331 ms,2.05806s,2.614 ms,21.948 ms,236089,236089,0,cudaLaunchKernel,93312 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.03875s,2.910 μs,2.03876s,21.921 ms,2.06068s,5.307 ms,27.231 ms,236089,236089,0,cudaLaunchKernel,0448 2 1,0128 1 1,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
2.03878s,3.138 μs,2.03879s,27.197 ms,2.06598s,7.912 ms,35.112 ms,236089,236089,0,cudaLaunchKernel,93312 1 1,0256 1 1,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, int, int, int, int, int, int, int, int, int, int, T1 *, long *)"
2.03914s,4.664 μs,2.03914s,34.756 ms,2.0739s,2.720 μs,34.763 ms,236089,236089,0,cudaLaunchKernel,3 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
2.03914s,5.153 μs,2.03915s,34.752 ms,2.0739s,1.088 ms,35.845 ms,236089,236089,0,cudaLaunchKernel,0729 1 1,64    1    1,_5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1
2.03916s,2.888 μs,2.03917s,35.821 ms,2.07499s,210.497 μs,36.035 ms,236089,236089,0,cudaLaunchKernel,11664 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.03918s,2.044 μs,2.03919s,36.014 ms,2.0752s,164.737 μs,36.181 ms,236089,236089,0,cudaLaunchKernel,5832 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.03948s,2.919 μs,2.03948s,35.886 ms,2.07537s,2.720 μs,35.891 ms,236089,236089,0,cudaLaunchKernel,3 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
2.03948s,2.173 μs,2.03948s,35.885 ms,2.07537s,690.243 μs,36.578 ms,236089,236089,0,cudaLaunchKernel,0729 2 1,0128 1 1,_5x_cudnn_volta_scudnn_128x64_relu_medium_nn_v1
2.03949s,1.983 μs,2.0395s,36.563 ms,2.07606s,829.700 μs,37.395 ms,236089,236089,0,cudaLaunchKernel,46656 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.03951s,2.559 μs,2.03951s,37.379 ms,2.07689s,654.722 μs,38.036 ms,236089,236089,0,cudaLaunchKernel,23328 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.03986s,8.107 μs,2.03987s,37.679 ms,2.07755s,322.689 μs,38.010 ms,236089,236089,0,cudaLaunchKernel,32   32    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.03987s,1.715 μs,2.03987s,38.000 ms,2.07787s,6.880 μs,38.009 ms,236089,236089,0,cudaLaunchKernel,1 16 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.03987s,2.056 μs,2.03987s,38.004 ms,2.07788s,2.493 ms,40.499 ms,236089,236089,0,cudaLaunchKernel,196    1   36,0256 1 1,volta_sgemm_32x128_nn
2.03987s,1.770 μs,2.03988s,40.495 ms,2.08037s,1.180 ms,41.677 ms,236089,236089,0,cudaLaunchKernel,32  128    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.0399s,3.066 μs,2.0399s,41.653 ms,2.08155s,827.683 μs,42.484 ms,236089,236089,0,cudaLaunchKernel,46656 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.03992s,1.968 μs,2.03992s,42.461 ms,2.08238s,654.498 μs,43.117 ms,236089,236089,0,cudaLaunchKernel,23328 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.03993s,2.187 μs,2.03994s,43.100 ms,2.08304s,1.327 ms,44.429 ms,236089,236089,0,cudaLaunchKernel,0448 2 1,0128 1 1,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
2.04026s,4.528 μs,2.04026s,44.102 ms,2.08436s,1.931 ms,46.038 ms,236089,236089,0,cudaLaunchKernel,12 1 0128,64    1    1,volta_sgemm_64x64_nn
2.04027s,2.396 μs,2.04028s,46.018 ms,2.0863s,313.121 μs,46.334 ms,236089,236089,0,cudaLaunchKernel,17496 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.04029s,1.783 μs,2.04029s,46.320 ms,2.08661s,246.657 μs,46.568 ms,236089,236089,0,cudaLaunchKernel,8748 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.04058s,2.847 μs,2.04058s,46.278 ms,2.08686s,1.414 ms,47.695 ms,236089,236089,0,cudaLaunchKernel,12 3 0128,64    1    1,volta_sgemm_64x64_nn
2.0406s,2.023 μs,2.0406s,47.674 ms,2.08827s,1.240 ms,48.915 ms,236089,236089,0,cudaLaunchKernel,69984 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.04061s,2.159 μs,2.04061s,48.904 ms,2.08951s,981.347 μs,49.888 ms,236089,236089,0,cudaLaunchKernel,34992 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.04092s,5.113 μs,2.04093s,49.564 ms,2.09049s,480.098 μs,50.050 ms,236089,236089,0,cudaLaunchKernel,32   48    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.04093s,1.333 μs,2.04093s,50.044 ms,2.09097s,14.656 μs,50.060 ms,236089,236089,0,cudaLaunchKernel,2 24 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.04093s,1.481 μs,2.04093s,50.056 ms,2.09099s,3.206 ms,53.264 ms,236089,236089,0,cudaLaunchKernel,98    3   36,64    1    1,volta_sgemm_64x64_nn
2.04093s,1.445 μs,2.04094s,53.262 ms,2.0942s,1.719 ms,54.982 ms,236089,236089,0,cudaLaunchKernel,32  192    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.04095s,2.065 μs,2.04095s,54.966 ms,2.09592s,1.242 ms,56.210 ms,236089,236089,0,cudaLaunchKernel,69984 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.04096s,1.807 μs,2.04096s,56.196 ms,2.09716s,981.060 μs,57.179 ms,236089,236089,0,cudaLaunchKernel,34992 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.04097s,2.080 μs,2.04098s,57.166 ms,2.09814s,2.040 ms,59.208 ms,236089,236089,0,cudaLaunchKernel,0448 2 1,0128 1 1,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
2.04123s,3.276 μs,2.04123s,58.953 ms,2.10018s,2.828 ms,61.784 ms,236089,236089,0,cudaLaunchKernel,12 1 0128,64    1    1,volta_sgemm_64x64_nn
2.04124s,2.091 μs,2.04124s,61.769 ms,2.10301s,313.377 μs,62.085 ms,236089,236089,0,cudaLaunchKernel,17496 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.04125s,1.725 μs,2.04125s,62.072 ms,2.10332s,246.177 μs,62.320 ms,236089,236089,0,cudaLaunchKernel,8748 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.04128s,1.544 μs,2.04128s,62.295 ms,2.10357s,1.411 ms,63.708 ms,236089,236089,0,cudaLaunchKernel,12 3 0128,64    1    1,volta_sgemm_64x64_nn
2.04128s,1.769 μs,2.04128s,63.701 ms,2.10498s,1.239 ms,64.942 ms,236089,236089,0,cudaLaunchKernel,69984 1 1,0128 1 1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.04129s,1.547 μs,2.04129s,64.934 ms,2.10622s,981.732 μs,65.917 ms,236089,236089,0,cudaLaunchKernel,34992 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.04131s,1.930 μs,2.04131s,65.898 ms,2.10721s,477.954 μs,66.377 ms,236089,236089,0,cudaLaunchKernel,32   48    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
