API Start,API Dur,Queue Start,Queue Dur,Kernel Start,Kernel Dur,Total Dur,PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
2.01822s,1.629 μs,2.01822s,42.182 ms,2.0604s,2.450 ms,44.634 ms,235544,235544,0,cudaLaunchKernel,64    1    1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)128, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.01823s,1.755 μs,2.01823s,44.624 ms,2.06285s,1.406 ms,46.032 ms,235544,235544,0,cudaLaunchKernel,50176 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01824s,1.562 μs,2.01824s,46.017 ms,2.06426s,3.248 ms,49.267 ms,235544,235544,0,cudaLaunchKernel,128   64    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.01824s,1.331 μs,2.01825s,49.264 ms,2.06751s,8.512 μs,49.274 ms,235544,235544,0,cudaLaunchKernel,2 8 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.01825s,1.275 μs,2.01825s,49.272 ms,2.06752s,5.364 ms,54.637 ms,235544,235544,0,cudaLaunchKernel,392    1   36,64    1    1,volta_sgemm_64x64_nn
2.01825s,1.416 μs,2.01825s,54.635 ms,2.07288s,2.355 ms,56.991 ms,235544,235544,0,cudaLaunchKernel,128   64    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.01826s,1.639 μs,2.01826s,56.979 ms,2.07524s,2.400 μs,56.983 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01829s,1.512 μs,2.01829s,56.955 ms,2.07524s,2.427 ms,59.384 ms,235544,235544,0,cudaLaunchKernel,64    1    1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)128, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.01829s,1.679 μs,2.01829s,59.378 ms,2.07767s,2.068 ms,61.447 ms,235544,235544,0,cudaLaunchKernel,50176 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
2.0183s,1.722 μs,2.0183s,61.441 ms,2.07974s,1.406 ms,62.849 ms,235544,235544,0,cudaLaunchKernel,50176 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01872s,6.518 μs,2.01872s,62.425 ms,2.08115s,2.751 μs,62.434 ms,235544,235544,0,cudaLaunchKernel,4 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
2.01872s,28.800 μs,2.01875s,62.402 ms,2.08116s,8.164 ms,70.594 ms,235544,235544,0,cudaLaunchKernel,0784 1 1,0256 1 1,_5x_cudnn_volta_scudnn_128x128_relu_small_nn_v1
2.01878s,2.609 μs,2.01878s,70.537 ms,2.08932s,2.400 μs,70.542 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01882s,16.364 μs,2.01884s,70.491 ms,2.08933s,1.100 ms,71.607 ms,235544,235544,0,cudaLaunchKernel,0128 1 1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.01885s,2.143 μs,2.01885s,71.577 ms,2.09043s,703.938 μs,72.283 ms,235544,235544,0,cudaLaunchKernel,25088 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01922s,4.056 μs,2.01922s,71.912 ms,2.09113s,1.463 ms,73.380 ms,235544,235544,0,cudaLaunchKernel,32  128    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.01922s,3.180 μs,2.01922s,73.373 ms,2.0926s,25.312 μs,73.402 ms,235544,235544,0,cudaLaunchKernel,4 16 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.01923s,2.134 μs,2.01923s,73.395 ms,2.09262s,7.516 ms,80.913 ms,235544,235544,0,cudaLaunchKernel,196    1   36,0256 1 1,volta_sgemm_32x128_nn
2.01923s,1.605 μs,2.01923s,80.910 ms,2.10014s,1.170 ms,82.082 ms,235544,235544,0,cudaLaunchKernel,32  128    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.01926s,2.006 μs,2.01926s,82.054 ms,2.10131s,2.336 μs,82.058 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01929s,2.403 μs,2.01929s,82.021 ms,2.10131s,1.099 ms,83.122 ms,235544,235544,0,cudaLaunchKernel,0128 1 1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.01959s,4.100 μs,2.0196s,82.815 ms,2.10241s,2.623 μs,82.821 ms,235544,235544,0,cudaLaunchKernel,4 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
2.0196s,2.293 μs,2.0196s,82.814 ms,2.10242s,1.273 ms,84.089 ms,235544,235544,0,cudaLaunchKernel,0784 1 1,0256 1 1,_5x_cudnn_volta_scudnn_128x128_relu_small_nn_v1
2.01962s,2.172 μs,2.01963s,84.065 ms,2.10369s,2.336 μs,84.070 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01966s,3.328 μs,2.01966s,84.030 ms,2.10369s,1.101 ms,85.134 ms,235544,235544,0,cudaLaunchKernel,0128 1 1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.01967s,1.941 μs,2.01967s,85.123 ms,2.1048s,1.034 ms,86.160 ms,235544,235544,0,cudaLaunchKernel,25088 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
2.01968s,1.897 μs,2.01968s,86.149 ms,2.10583s,703.617 μs,86.855 ms,235544,235544,0,cudaLaunchKernel,25088 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01971s,2.098 μs,2.01971s,86.823 ms,2.10654s,1.453 ms,88.278 ms,235544,235544,0,cudaLaunchKernel,32  128    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.01971s,1.360 μs,2.01971s,88.276 ms,2.10799s,26.336 μs,88.303 ms,235544,235544,0,cudaLaunchKernel,4 16 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.01972s,26.694 μs,2.01974s,88.273 ms,2.10802s,7.516 ms,95.815 ms,235544,235544,0,cudaLaunchKernel,196    1   36,0256 1 1,volta_sgemm_32x128_nn
2.01974s,1.643 μs,2.01975s,95.787 ms,2.11553s,1.170 ms,96.959 ms,235544,235544,0,cudaLaunchKernel,32  128    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.01976s,1.641 μs,2.01976s,96.947 ms,2.1167s,2.368 μs,96.951 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01978s,1.790 μs,2.01978s,96.925 ms,2.11671s,1.105 ms,98.032 ms,235544,235544,0,cudaLaunchKernel,0128 1 1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.01979s,1.711 μs,2.01979s,98.023 ms,2.11781s,703.458 μs,98.728 ms,235544,235544,0,cudaLaunchKernel,25088 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.0198s,1.712 μs,2.0198s,98.712 ms,2.11852s,1.445 ms,100.159 ms,235544,235544,0,cudaLaunchKernel,32  128    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.0198s,1.311 μs,2.01981s,100.156 ms,2.11996s,26.624 μs,100.184 ms,235544,235544,0,cudaLaunchKernel,4 16 2001,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.01981s,1.363 μs,2.01981s,100.181 ms,2.11999s,7.514 ms,107.697 ms,235544,235544,0,cudaLaunchKernel,196    1   36,0256 1 1,volta_sgemm_32x128_nn
2.01981s,1.301 μs,2.01981s,107.695 ms,2.1275s,1.172 ms,108.868 ms,235544,235544,0,cudaLaunchKernel,32  128    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.01982s,1.945 μs,2.01982s,108.854 ms,2.12868s,2.433 μs,108.858 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.01985s,1.599 μs,2.01985s,108.834 ms,2.12868s,1.103 ms,109.938 ms,235544,235544,0,cudaLaunchKernel,0128 1 1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.01985s,1.597 μs,2.01985s,109.931 ms,2.12978s,1.035 ms,110.967 ms,235544,235544,0,cudaLaunchKernel,25088 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
2.01986s,1.668 μs,2.01986s,110.961 ms,2.13082s,704.353 μs,111.668 ms,235544,235544,0,cudaLaunchKernel,25088 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.0202s,4.653 μs,2.02021s,111.316 ms,2.13153s,2.785 μs,111.324 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
2.02021s,28.468 μs,2.02024s,111.296 ms,2.13154s,6.568 ms,117.893 ms,235544,235544,0,cudaLaunchKernel,0196 4 1,0128 1 1,_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1
2.02026s,1.992 μs,2.02026s,117.840 ms,2.1381s,1.791 μs,117.844 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.0203s,2.129 μs,2.0203s,117.806 ms,2.13811s,587.681 μs,118.396 ms,235544,235544,0,cudaLaunchKernel,0256 1 1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.02031s,1.915 μs,2.02031s,118.381 ms,2.13869s,359.841 μs,118.743 ms,235544,235544,0,cudaLaunchKernel,12544 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.02064s,4.006 μs,2.02065s,118.409 ms,2.13906s,784.866 μs,119.197 ms,235544,235544,0,cudaLaunchKernel,8  256    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)"
2.02065s,1.594 μs,2.02065s,119.192 ms,2.13984s,91.104 μs,119.285 ms,235544,235544,0,cudaLaunchKernel,8   32    1,32    8    1,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)"
2.02065s,1.908 μs,2.02065s,119.280 ms,2.13993s,6.324 ms,125.606 ms,235544,235544,0,cudaLaunchKernel,64    2   36,0256 1 1,volta_sgemm_32x128_nn
2.02065s,1.739 μs,2.02065s,125.603 ms,2.14626s,696.610 μs,126.301 ms,235544,235544,0,cudaLaunchKernel,8  256    1,0256 1 1,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)"
2.02068s,2.118 μs,2.02068s,126.271 ms,2.14695s,1.728 μs,126.275 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.02072s,2.231 μs,2.02072s,126.236 ms,2.14696s,593.089 μs,126.832 ms,235544,235544,0,cudaLaunchKernel,0256 1 1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.02098s,3.662 μs,2.02098s,126.565 ms,2.14755s,2.016 μs,126.571 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0256 1 1,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
2.02099s,1.980 μs,2.02099s,126.565 ms,2.14755s,880.930 μs,127.448 ms,235544,235544,0,cudaLaunchKernel,0196 2 1,0256 1 1,_5x_cudnn_volta_scudnn_128x128_relu_small_nn_v1
2.02101s,1.929 μs,2.02101s,127.426 ms,2.14843s,1.792 μs,127.430 ms,235544,235544,0,cudaLaunchKernel,1 1 2001,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
2.02104s,2.115 μs,2.02104s,127.397 ms,2.14844s,587.489 μs,127.987 ms,235544,235544,0,cudaLaunchKernel,0256 1 1,0512 1 1,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
2.02105s,1.736 μs,2.02105s,127.978 ms,2.14902s,527.426 μs,128.507 ms,235544,235544,0,cudaLaunchKernel,12544 1 1,0128 1 1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
